mcps,hsgpa,collegegpa,n_remedial,n_switch,alt0,alt1,alt2,alt3,stress0,stress1,stress2
No,4.7780000000000005,2.908,0,1,-0.5,-1.0,0.0,None,1.0,1.0,0.5
No,4.54,3.87,0,1,-1.0,0.0,-0.5,None,0.0,0.5,-0.5
No,4.2,3.2,0,1,-0.5,-1.0,0.0,None,-0.5,-0.5,-1.0
No,3.7,2.8,0,1,0.0,-0.5,0.5,Vocational,-0.5,-0.5,-0.5
Yes,3.3,3.0,1-2,0,0.0,1.0,0.5,None,0.5,0.5,-0.5
Yes,3.2,3.6,0,1,-1.0,1.0,0.5,None,0.0,-0.5,-0.5
Yes,4.3,3.8,0,0,-1.0,1.0,-1.0,Work at a nail salon,1.0,1.0,1.0
Yes,3.8,2.7,1-2,1,-1.0,1.0,1.0,None,1.0,1.0,1.0
Yes,4.1,3.1,1-2,2,-1.0,1.0,1.0,None,1.0,1.0,1.0
Yes,3.8,3.0,1-2,0,-1.0,1.0,1.0,None,1.0,1.0,1.0
No,4.75,3.3,1-2,1,-0.5,0.5,0.5,None,0.5,0.5,0.5
Yes,3.7,2.6,0,1,0.0,-0.5,-0.5,None,1.0,1.0,0.5
No,3.5,3.8,0,0,1.0,-1.0,1.0,Military ,1.0,1.0,-0.5
Yes,4.3,3.5,0,0,0.5,1.0,0.5,Military ,0.0,0.5,0.5
No,3.5,2.8,3+,2,-1.0,1.0,0.5,None,1.0,1.0,1.0
Yes,4.0,2.8,0,1,-1.0,1.0,1.0,None,1.0,0.5,1.0
No,3.8,3.8,1-2,0,1.0,1.0,-0.5,Military,1.0,1.0,1.0
Yes,3.8,2.9,1-2,1,-1.0,1.0,1.0,None,0.5,1.0,0.5
Yes,4.1,3.0,3+,1,-1.0,1.0,1.0,None,0.5,0.5,0.5
Yes,4.1,3.5,1-2,0,-1.0,-1.0,-1.0,None,0.5,0.5,0.5
No,4.1,3.8,0,0,-1.0,-1.0,-1.0,None,1.0,1.0,1.0
No,4.0,3.9,0,0,1.0,-1.0,-1.0,Military,-1.0,-1.0,-1.0
No,3.7,3.0,0,1,-1.0,-1.0,-1.0,None,0.0,0.0,-1.0
No,4.0,3.8,0,0,1.0,-1.0,-1.0,Military,-1.0,-1.0,-1.0
No,4.1,3.9,0,0,-1.0,-1.0,-1.0,None,-1.0,-1.0,-1.0
Yes,3.64,3.5,0,0,-0.5,0.5,-0.5,None,0.5,-0.5,0.0
Yes,4.0,3.5,0,0,1.0,-1.0,-1.0,Vocational,0.5,-1.0,-1.0
Yes,4.0,3.0,0,0,-1.0,-1.0,-1.0,None,1.0,-0.5,-1.0
No,4.0,3.0,1-2,1,-1.0,1.0,1.0,None,1.0,1.0,-1.0
Yes,4.0,3.0,1-2,1,-1.0,1.0,1.0,None,1.0,1.0,-0.5
No,4.0,3.9,0,0,1.0,-1.0,-1.0,Military,-1.0,-1.0,-1.0
No,4.0,3.5,0,0,1.0,-1.0,-1.0,Military,0.5,-1.0,-1.0
Yes,4.0,3.0,1-2,1,-1.0,1.0,1.0,None,1.0,1.0,-1.0
Yes,4.0,3.1,0,1,-1.0,1.0,1.0,None,1.0,1.0,-1.0
Yes,3.9,3.0,0,1,-1.0,1.0,1.0,None,1.0,1.0,-1.0
Yes,3.9,3.0,1-2,1,-1.0,1.0,1.0,None,1.0,1.0,-1.0
No,3.5,3.8,0,0,-1.0,1.0,1.0,None,1.0,1.0,-1.0
No,3.8,2.9,0,0,-1.0,1.0,1.0,None,1.0,1.0,-0.5
No,3.5,2.7,0,0,0.5,1.0,1.0,Military,1.0,1.0,-0.5
No,3.8,2.9,0,0,-1.0,1.0,1.0,None,1.0,1.0,1.0
No,4.0,2.9,0,0,-1.0,1.0,1.0,None,1.0,1.0,1.0
No,4.1,3.0,0,0,-1.0,1.0,1.0,None,1.0,1.0,0.5
No,3.8,2.8,0,0,-0.5,1.0,1.0,None,1.0,1.0,-1.0
No,3.8,3.1,0,0,1.0,1.0,1.0,Military,1.0,1.0,-1.0
Yes,4.1,3.0,0,0,-1.0,1.0,1.0,None,1.0,1.0,-1.0
